datetime,open,high,low,close,volume
2025-06-09 09:30:00,204.39999,206.0,200.020004,200.72,34463755.0
2025-06-09 13:30:00,200.71001,202.66769,200.029999,201.44,29072724.0
2025-06-10 09:30:00,200.60001,204.35001,200.57001,201.75999,28344554.0
2025-06-10 13:30:00,201.77499,203.22501,201.31,202.75,14163671.0
2025-06-11 09:30:00,203.47,204.5,199.65961,200.91,33709194.0
2025-06-11 13:30:00,200.905,200.985,198.41,198.85001,18917029.0
2025-06-12 09:30:00,198.8988,199.44,197.36011,199.25999,23933343.0
2025-06-12 13:30:00,199.25999,199.6799,198.39999,199.2,10204336.0
2025-06-13 09:30:00,199.50999,200.37,195.91,197.27,28398452.0
2025-06-13 13:30:00,197.25,197.71001,195.77,196.45,14835901.0
2025-06-16 09:30:00,197.28999,198.685,196.5636,197.875,22635534.0
2025-06-16 13:30:00,197.88499,198.49001,197.66,198.37,11490819.0
2025-06-17 09:30:00,197.25,198.3889,196.255,196.52,19271251.0
2025-06-17 13:30:00,196.50999,196.82001,195.21001,195.64,11951723.0
2025-06-18 09:30:00,195.94501,197.57001,195.070007,196.059998,17878836.0
2025-06-18 13:30:00,196.070007,197.11,195.11,196.25,16355928.0
2025-06-20 09:30:00,198.235,200.94,196.8596,198.32001,41624980.0
2025-06-20 13:30:00,198.32001,201.7,198.070007,200.94,23999970.0
2025-06-23 09:30:00,201.532,202.3,198.96001,201.439,28112228.0
2025-06-23 13:30:00,201.46001,202.24001,201.050705,201.55,14785291.0
2025-06-24 09:30:00,202.59,203.44,200.2,201.96001,28904192.0
2025-06-24 13:30:00,201.96001,202.33,200.27,200.28999,17102553.0
2025-06-25 09:30:00,201.42,203.66,201.089996,201.14,23236878.0
2025-06-25 13:30:00,201.14,201.62,200.6201,201.60001,10291433.0
2025-06-26 09:30:00,201.42999,202.61501,199.46001,200.24001,27234748.0
2025-06-26 13:30:00,200.25,201.56,199.97501,200.94,14945060.0
2025-06-27 09:30:00,201.895,203.22,200.855,202.080002,26105106.0
2025-06-27 13:30:00,202.10001,202.12,200.22,201.10001,16812475.0
2025-06-30 09:30:00,202.0099945,202.19,199.5901,200.155,26234594.0
2025-06-30 13:30:00,200.155,207.39,199.2607,205.12,44630326.0
2025-07-01 09:30:00,206.66499,210.18649,206.14011,208.089996,55704499.0
2025-07-01 13:30:00,208.088898,208.4299,207.375,207.86,14986070.0
2025-07-02 09:30:00,209.080002,213.34,208.14,210.8181,44246344.0
2025-07-02 13:30:00,210.81,212.96001,210.74001,212.41,16987788.0
2025-07-03 09:30:00,212.145,214.65,211.825,213.44,2277281.0
2025-07-07 09:30:00,212.67999,216.23,209.52,209.67039,28072238.0
2025-07-07 13:30:00,209.67,210.5,208.8,209.94,13367393.0
2025-07-08 09:30:00,210.13,211.42999,208.45,209.83501,22778866.0
2025-07-08 13:30:00,209.84,210.34,209.3,210.035004,10639396.0
2025-07-09 09:30:00,209.53,210.89999,207.22,208.9156,25943525.0
2025-07-09 13:30:00,208.91499,211.33,208.72,211.11,13932293.0
2025-07-10 09:30:00,210.505,213.48,210.12,212.62,26383004.0
2025-07-10 13:30:00,212.61,213.45,212.089996,212.42,10844139.0
2025-07-11 09:30:00,210.565,212.13,209.86,211.16499,18848467.0
2025-07-11 13:30:00,211.155,211.65981,210.62,211.074997,8910354.0
2025-07-14 09:30:00,209.909,210.91,207.53999,209.0,21448313.0
2025-07-14 13:30:00,209.013306,209.45,208.52,208.53999,9780104.0
2025-07-15 09:30:00,209.14999,211.89,208.92,210.6727,21848615.0
2025-07-15 13:30:00,210.685,211.67,208.99001,209.0099945,10572217.0
2025-07-16 09:30:00,210.28999,212.39999,208.64,210.35001,26821726.0
2025-07-16 13:30:00,210.34,210.6366,209.871,210.22,8703909.0
2025-07-17 09:30:00,210.625,211.50999,209.59,210.955,24014213.0
2025-07-17 13:30:00,210.95,211.8,209.74001,210.061005,16749033.0
2025-07-18 09:30:00,210.755,211.78999,209.7045,211.19,28520784.0
2025-07-18 13:30:00,211.17999,211.53999,210.75999,211.22,10127325.0
2025-07-21 09:30:00,212.050003,215.78,211.6409,213.67999,33465721.0
2025-07-21 13:30:00,213.66,213.71001,212.070007,212.53999,10754000.0
2025-07-22 09:30:00,213.235,214.48,212.2301,214.41119,26778740.0
2025-07-22 13:30:00,214.39999,214.645,213.44,214.39,12159251.0
2025-07-23 09:30:00,215.044998,215.10001,212.41,214.125,25085411.0
2025-07-23 13:30:00,214.12,214.69501,213.61,214.31,12082353.0
2025-07-24 09:30:00,214.059998,215.69,213.53,214.78999,25782443.0
2025-07-24 13:30:00,214.78999,215.2,213.72,213.75999,11521341.0
2025-07-25 09:30:00,214.7,215.24001,213.74001,214.17,23102190.0
2025-07-25 13:30:00,214.17039,214.50999,213.39999,213.96001,10419735.0
2025-07-28 09:30:00,214.029999,214.845,213.41499,213.645,18267254.0
2025-07-28 13:30:00,213.63499,214.050003,213.059998,214.039993,10765536.0
2025-07-29 09:30:00,214.16,214.81,210.825,212.2,26650054.0
2025-07-29 13:30:00,212.21001,212.44,211.054504,211.35001,11237451.0
2025-07-30 09:30:00,211.895,212.39,209.32001,209.7565,16837758.0
2025-07-30 13:30:00,209.75,210.1499,207.72,209.020004,13326449.0
2025-07-31 09:30:00,208.38,209.84,207.825,208.66499,27770219.0
2025-07-31 13:30:00,208.66499,209.38429,207.16,207.61,19359703.0
2025-08-01 09:30:00,210.84,213.58,201.5,201.9825,58840681.0
2025-08-01 13:30:00,201.9801,204.3212,201.6301,202.27,24127990.0
2025-08-04 09:30:00,204.505,207.88,203.86501,204.14999,33056879.0
2025-08-04 13:30:00,204.14,204.22,201.675,203.34,23927668.0
2025-08-05 09:30:00,203.435,205.34,202.16,204.035004,23818853.0
2025-08-05 13:30:00,204.050003,204.3,202.67,202.92999,9817214.0
2025-08-06 09:30:00,205.60001,214.99001,205.59,214.53999,62548609.0
2025-08-06 13:30:00,214.515,215.38,212.81,213.25,24953242.0
2025-08-07 09:30:00,218.875,220.34,213.25,218.71001,59802437.0
2025-08-07 13:30:00,218.72,220.85001,218.7101,220.13,20940157.0
2025-08-08 09:30:00,220.82001,230.91,219.25,228.675,68816247.0
2025-08-08 13:30:00,228.67,230.99001,228.46001,229.37,34953670.0
2025-08-11 09:30:00,226.75,229.56,224.76241,228.10001,35719242.0
2025-08-11 13:30:00,228.089996,228.19501,226.64,227.205,18747481.0
2025-08-12 09:30:00,228.0050049,230.78,227.10001,229.77499,32640417.0
2025-08-12 13:30:00,229.7701,230.55,228.92,229.64999,11655978.0
2025-08-13 09:30:00,231.070007,234.55,230.42999,232.455,37727700.0
2025-08-13 13:30:00,232.45,234.99001,230.8,233.33,23068547.0
2025-08-14 09:30:00,234.054993,235.11,230.85001,232.92731,30210687.0
2025-08-14 13:30:00,232.92999,233.50999,232.32001,232.83,12699940.0
2025-08-15 09:30:00,233.73,234.22141,230.23,230.57001,27017953.0
2025-08-15 13:30:00,230.56,231.77,229.36,231.64999,15402522.0
2025-08-18 09:30:00,231.78,233.12,230.11,231.070007,20020874.0
2025-08-18 13:30:00,231.080002,231.675,230.88,230.88,8999516.0
2025-08-19 09:30:00,231.27499,232.86501,230.059998,230.625,19565193.0
2025-08-19 13:30:00,230.62,230.89999,229.35001,230.53999,10680290.0
2025-08-20 09:30:00,229.97,230.46989,225.89,226.295,22281286.0
2025-08-20 13:30:00,226.3,227.0,225.77,225.96001,10590655.0
2025-08-21 09:30:00,226.28,226.52,223.7804,224.175,15975696.0
2025-08-21 13:30:00,224.17081,225.25,224.094193,224.91,9110675.0
2025-08-22 09:30:00,226.17,229.089996,225.41,228.61,21601957.0
2025-08-22 13:30:00,228.6274,228.6274,227.44,227.75,12844213.0
2025-08-25 09:30:00,226.405,229.3,226.24001,228.435,17101849.0
2025-08-25 13:30:00,228.435,228.655,227.12,227.14999,8609352.0
2025-08-26 09:30:00,226.87,228.17,224.69,228.1116,18788623.0
2025-08-26 13:30:00,228.11,229.49001,227.72501,229.3,10155845.0
2025-08-27 09:30:00,228.58,230.7,228.295,229.84,16694473.0
2025-08-27 13:30:00,229.84,230.89999,229.72,230.44,8326364.0
2025-08-28 09:30:00,230.81,233.12,229.33501,233.0,18827753.0
2025-08-28 13:30:00,233.0099945,233.41,232.48,232.49001,10699837.0
